द्रब्यशाहमध्ये,द्रब्यशाह,('SFX', '22', '0', 'मध्ये', '.')
द्रब्यशाहबाहेक,द्रब्यशाह,('SFX', '22', '0', 'बाहेक', '.')
द्रब्यशाहकी,द्रब्यशाह,('SFX', '15', '0', 'की', '.')
द्रब्यशाहसम्मको,द्रब्यशाह,('SFX', '22', '0', 'सम्मको', '.')
द्रब्यशाहबाट,द्रब्यशाह,('SFX', '15', '0', 'बाट', '.')
कोलाहलका,कोलाहल,('SFX', '15', '0', 'का', '.')
कोलाहललगायतका,कोलाहल,('SFX', '22', '0', 'लगायतका', '.')
कोलाहलमध्ये,कोलाहल,('SFX', '22', '0', 'मध्ये', '.')
कोलाहलजस्ता,कोलाहल,('SFX', '22', '0', 'जस्ता', '.')
कोलाहलकै,कोलाहल,('SFX', '22', '0', 'कै', '.')
खोलानालामात्र,खोलानाला,('SFX', '22', '0', 'मात्र', '.')
खोलानालाहरूसँगको,खोलानाला,('SFX', '18', '0', 'हरूसँगको', '.')
खोलानालालगायतका,खोलानाला,('SFX', '22', '0', 'लगायतका', '.')
खोलानालामाथिबाट,खोलानाला,('SFX', '22', '0', 'माथिबाट', '.')
खोलानालाहरूमा,खोलानाला,('SFX', '18', '0', 'हरूमा', '.')
भित्तेलेखनसित,भित्तेलेखन,('SFX', '15', '0', 'सित', '.')
भित्तेलेखनको,भित्तेलेखन,('SFX', '15', '0', 'को', '.')
भित्तेलेखनबाहेक,भित्तेलेखन,('SFX', '22', '0', 'बाहेक', '.')
भित्तेलेखनजस्ता,भित्तेलेखन,('SFX', '22', '0', 'जस्ता', '.')
भित्तेलेखनकै,भित्तेलेखन,('SFX', '22', '0', 'कै', '.')
कार्यरथीजस्ता,कार्यरथी,('SFX', '22', '0', 'जस्ता', '.')
कार्यरथीसहित,कार्यरथी,('SFX', '22', '0', 'सहित', '.')
कार्यरथीसम्मको,कार्यरथी,('SFX', '22', '0', 'सम्मको', '.')
कार्यरथीसहित,कार्यरथी,('SFX', '15', '0', 'सहित', '.')
कार्यरथीसँगको,कार्यरथी,('SFX', '15', '0', 'सँगको', '.')
अनौठी,अनौठो,('SFX', '14', 'ो', 'ी', 'ो')
अनौठा,अनौठो,('SFX', '14', 'ो', 'ा', 'ो')
मानसरोवरबिना,मानसरोवर,('SFX', '15', '0', 'बिना', '.')
मानसरोवरपछिका,मानसरोवर,('SFX', '22', '0', 'पछिका', '.')
मानसरोवरका,मानसरोवर,('SFX', '15', '0', 'का', '.')
मानसरोवरद्वारा,मानसरोवर,('SFX', '15', '0', 'द्वारा', '.')
मानसरोवरमात्र,मानसरोवर,('SFX', '22', '0', 'मात्र', '.')
पानीसरोबाहेक,पानीसरो,('SFX', '22', '0', 'बाहेक', '.')
पानीसरोअनुसार,पानीसरो,('SFX', '22', '0', 'अनुसार', '.')
पानीसरोअघि,पानीसरो,('SFX', '22', '0', 'अघि', '.')
पानीसरोबारे,पानीसरो,('SFX', '22', '0', 'बारे', '.')
पानीसरोसहित,पानीसरो,('SFX', '15', '0', 'सहित', '.')
दिगन्तमै,दिगन्त,('SFX', '22', '0', 'मै', '.')
दिगन्तसँगका,दिगन्त,('SFX', '15', '0', 'सँगका', '.')
दिगन्तबाहेक,दिगन्त,('SFX', '22', '0', 'बाहेक', '.')
दिगन्तबाट,दिगन्त,('SFX', '15', '0', 'बाट', '.')
दिगन्तभन्दापर,दिगन्त,('SFX', '22', '0', 'भन्दापर', '.')
इस्टकोटद्वारा,इस्टकोट,('SFX', '15', '0', 'द्वारा', '.')
इस्टकोटहरूप्रति,इस्टकोट,('SFX', '18', '0', 'हरूप्रति', '.')
इस्टकोटसहितका,इस्टकोट,('SFX', '22', '0', 'सहितका', '.')
इस्टकोटले,इस्टकोट,('SFX', '15', '0', 'ले', '.')
इस्टकोटहरूसँगको,इस्टकोट,('SFX', '18', '0', 'हरूसँगको', '.')
शृगालजस्तै,शृगाल,('SFX', '22', '0', 'जस्तै', '.')
शृगालबिना,शृगाल,('SFX', '15', '0', 'बिना', '.')
शृगालतिर,शृगाल,('SFX', '22', '0', 'तिर', '.')
शृगालकै,शृगाल,('SFX', '22', '0', 'कै', '.')
शृगालसँग,शृगाल,('SFX', '15', '0', 'सँग', '.')
धनुर्धरहरूमाथि,धनुर्धर,('SFX', '18', '0', 'हरूमाथि', '.')
धनुर्धरसँगै,धनुर्धर,('SFX', '15', '0', 'सँगै', '.')
धनुर्धरपछिकी,धनुर्धर,('SFX', '22', '0', 'पछिकी', '.')
धनुर्धरअघि,धनुर्धर,('SFX', '22', '0', 'अघि', '.')
धनुर्धरमाथिका,धनुर्धर,('SFX', '22', '0', 'माथिका', '.')
पदवियोगमाथिको,पदवियोग,('SFX', '22', '0', 'माथिको', '.')
पदवियोगप्रति,पदवियोग,('SFX', '22', '0', 'प्रति', '.')
पदवियोगभन्दा,पदवियोग,('SFX', '22', '0', 'भन्दा', '.')
पदवियोगसहितको,पदवियोग,('SFX', '22', '0', 'सहितको', '.')
पदवियोगमाथिका,पदवियोग,('SFX', '22', '0', 'माथिका', '.')
शङ्खमूलपछिका,शङ्खमूल,('SFX', '22', '0', 'पछिका', '.')
शङ्खमूलसम्मका,शङ्खमूल,('SFX', '22', '0', 'सम्मका', '.')
