word,pos,rules
अ,,
अँगार,NN,"18,22,15"
अँगारे,,
अँगाले,,
अँगालो,NN,"15,22"
अँगाल्,VF,"1,41"
अँगुठी,NN,"18,22,15"
अँगेठी,,"18,22,15"
अँगेरी,NN,"15,22"
अघिल्लो,ADJ,14
अतिरिक्त,ADJ,
अन्तरलुप्‍त,ADJ,
अवैदि,ADR,
अन्यत्र,ADJ,
संतुलित,ADJ,
अष्टाध्यायी,NN,
संतुलन,NN,
अन्दोलन,NN,
अनसूया,NP,
अँगोछा,,"18,22,15"
अँचेट्,VF,"1,41"
अँचेला,,"15,22"
अँजुली,NN,"18,22,15"
अँजुल्,VF,
अँठि,VF,
अँठिया,ADJ,"15,22"
अँडुवा,,
अँतेर्,VF,
अँध्यार,"NN,ADJ",
अँध्यारो,"NN,ADJ","15,22"
अंश,NN,"18,22,15"
अंशदान,,"15,22"
अंशवण्डा,,"15,22"
अंशियार,,"18,22,15"
अंशु,,"18,22,15"
अंशुवर्मा,NP,"18,22,15"
अंसियारी,,
अउ,,
अऋणी,,
अकडी,,
अकण्टक,,"15,22"
अकथनिय,,
अकथित,,
अकथ्य,,
अकपट,,
अकबर,NP,"18,22,15"
अकबरि,,
अकबरी,,"15,22"
अकबरे,,
अकर,,
अकरण,,34
अकरणीय,,
अकरुण,,
अकर्तव्य,,"15,22"
अकर्म,,"18,22,15"
अकर्मक,,"31,37"
अकर्मण्य,,33
अकर्मण्यता,,
अकल,NN,
अकलगुम,,
अकलदार,,
अकलमन्द,,
अकलुषित,,
अकल्पित,,
अकस्मात्,NN,
अकाउडो,,14
अकाट्य,,
अकाय,,
अकारण,,
अकारादि,,"15,22"
अकारादिक्रम,,
अकारान्त,,
अकाल,ADJ,"15,22"
अकास,NN,"15,22"
अकासि,VF,
अकासे,,"15,22"
अकिञ्चन,,"15,22"
अकुपञ्चर,NN,"15,22"
अकुशलता,,
अकूत,,
अकृतज्ञ,,
अकृतिमता,,
अकेला,ADJ,
अक्क न बक्क,,
अक्कल,NN,"15,22"
अक्टोपस,,"30,18"
अक्टोबर,,28
अक्र,VF,"8,45"
अक्रम,,
अक्रूर,,
अक्वेरीअम,,"29,18"
अक्ष,NN,"18,22,15"
अक्षत,,
अक्षता,NN,"18,22,15"
अक्षम,ADJ,33
अक्षमता,,
अक्षम्य,,
अक्षय,,
अक्षय्य,,
अक्षर,NN,"18,22,15,36"
अक्षरजीवी,,
अक्षरात्मक,,
अक्षरेपि,,
अक्षांश,NN,"18,22,15"
अक्षार,,
अक्षुण्ण,NN,33
अक्षुण्णता,,
अक्षोभ्य,,
अक्सफोर्ड,,"29,18"
अक्सर,AVP,"15,22"
अक्सिजन,NN,"29,18"
अखटो,NN,"15,22"
अखडा,NN,"18,22,15"
अखण्ड,,33
अखण्डता,,
अखण्डित,,
अखबार,NN,"18,22,15"
अखाद्य,,
अखानु,,
अखानो,NN,"15,22"
अखिल,ADJ,"15,22"
अख्तियार,NN,"15,22"
अख्तियारनामा,,"15,22"
अख्तियारी,,"15,22"
अख्र,VF,"8,45"
अगच,,
अगडम-बगडम,,
अगणनीय,,
अगणित,,
अगति,,"15,22"
अगतिलो,,14
अगत्या,,
अगम,,
अगम्य,,33
अगम्यता,,
अगरबत्ती,NN,"18,22,15"
अगस्त,,28
अगस्तNN,,
अगस्ति,,"15,22"
अगस्त्य,,"18,22,15"
अगाडि,ADV,
अगाध,ADJ,
अगि,NN,
अगिल्तिर,,
अगिल्लो,ADJ,14
अगिसरा,,
अगुल्टो,NN,"18,22,15"
अगुवा,ADJ,
अगुवाइ,,"15,22"
अगेना,,"18,22,15"
अगेनो,NN,"18,22,15"
अगोचर,,"15,22"
अगोलित,,
अगौटे,,
अग्घोर,NN,
अग्नि,NN,89
अग्निकण,,"15,22"
अग्निकाण्ड,,"15,22"
अग्निकुन्ड,,"18,29"
अग्निज्वाला,,"15,22"
अग्निपरीक्षा,,"15,22"
अग्निपूजा,,"18,22,15"
अग्न्यास्त्र,,"18,22,15"
अग्र,ADV,33
अग्रगति,,"15,22"
अग्रगमन,,"18,22,15"
अग्रगामी,,
अग्रज,,"18,22,15"
अग्रजन्मा,,"15,22"
अग्रता,,
अग्रदूत,,"18,22,15"
अग्रपङ्क्ति,,"15,22"
अग्रपूजा,,"15,22"
अग्रभाग,,"18,22,15"
अग्रभूमि,,"15,22"
अग्रलेख,,"18,22,15"
अग्रवाल,,"18,22,15"
अग्रसरता,,
अग्रस्थान,,"15,22"
अग्राह्य,,
अग्रिम,ADJ,
अग्लि,VF,"8,43"
अग्लो,ADJ,14
अघटित,,
अघाउ,VF,"9,42"
अघाउँजी,,
अघाउन्जेल,,
अघासुर,NN,"15,22"
अघि,ADV,
अघिल्तिर,,
अघोर,NN,
अघोरपन्थी,,
अघोरै,,
अघोष,,
अघोषित,,
अङ्क,NN,"18,22,15"
अङ्कतालिका,,"18,22,15"
अङ्कपत्र,,"18,22,15"
अङ्कमाल,NN,"15,22"
अङ्कल,,"18,22,15"
अङ्कारा,NP,"15,22"
अङ्कित,,
अङ्कुर,NN,"18,22,15"
अङ्कुरण,,"15,22"
अङ्कुराउ,VF,
अङ्कुरित,,
अङ्कुस,NN,"18,22,15"
अङ्कुसे,,"18,22,15"
अङ्खोरा,NN,"18,22,15"
अङ्ग,NN,"18,22,15,37"
अङ्गच्छेदन,,"15,22"
अङ्गज,,
अङ्गत-गुना,,
अङ्गभङ्ग,,"15,22"
अङ्गरक्षक,,"18,22,15"
अङ्गरक्षा,,"15,22"
अङ्गीकार,NN,"15,22"
अङ्गीकृत,,
अङ्गुर,NN,"18,22,15"
अङ्गुरमान,,"18,22,15"
अङ्गुल,NN,"18,22,15"
अङ्गुलिका,,"15,22"
अङ्गुष्ठ,,"15,22"
अङ्गोछा,,"18,22,15"
अङ्गोला,,"15,22"
